doi,year,title,venue,research_question,method,sensor,agent,host,support,validation_design,class_balance_reported,accuracy_metric,accuracy_value,notes
10.3390/rs13234877,2021,"Continuous Detection of Forest Loss in Vietnam, Laos, and Cambodia Using Sentinel-1 Data",Remote Sensing,RQ3,"shadow-based forest loss detection from radar, weekly maps over 750,000 km2",Sentinel-1 SAR,"forest loss, agent not identified","Vietnam, Laos, Cambodia forest",minimum mapping unit 0.1 ha,estimated accuracies with a stated minimum mapping unit,no,user's and producer's accuracy,user's accuracy 0.95 disturbance and 0.99 intact; producer's accuracy 0.90 disturbance and 0.99 intact,"Best-documented radar disturbance accuracies in the set, but the class is loss, not agent."
10.1109/jstars.2021.3069159,2021,Multisensor Data Fusion for Improved Segmentation of Individual Tree Crowns in Dense Tropical Forests,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,RQ3,"ALS point cloud clustering combined with a spectral deep learning model for crown segmentation, then repeat-survey mortality mapping","airborne laser scanning, multispectral and hyperspectral","tree mortality, agent not identified","dense tropical forest, French Guiana",individual tree crown,"manually segmented reference crowns, congruence threshold 0.5",no,crown recognition accuracy,83%,"Fusing structure with spectra improved crown segmentation over structure alone, which bounds mortality tracking accuracy."
10.1111/2041-210x.13726,2021,Tracking the temporal dynamics of insect defoliation by high‐resolution radar satellite data,Methods in Ecology and Evolution,RQ3,"canopy development index from the ratio of backscatter intensity between two polarisations, validated against optical and terrestrial measurements","Sentinel-1 radar, Sentinel-2 for validation","gypsy moth (Lymantria dispar), densities experimentally manipulated",mixed-oak forest,"stand, replicated experimental units","replicated field experiment manipulating insect densities, radar validated against optical and terrestrial data",no,not stated in abstract,not stated in abstract,"The strongest radar-and-insect record in the set. Radar tracks the defoliation-refoliation trajectory of one insect under experimental density manipulation. Still one agent, so it does not attribute between agents."
10.3390/f12091145,2021,Mapping Boreal Forest Spruce Beetle Health Status at the Individual Crown Scale Using Fused Spectral and Structural Data,Forests,RQ2;RQ3,"fusion of UAV multispectral with structure-from-motion point clouds and G-LiHT hyperspectral and lidar, discriminating three health statuses","UAV multispectral 6 cm plus SfM point cloud, G-LiHT hyperspectral and lidar",spruce bark beetle,"boreal spruce, Alaska",individual crown,not stated in abstract,no,not stated in abstract,not stated in abstract,"Three-class health status, non-infested, green attack and dead, from fused spectral and structural data. Closest published design to a structure-plus-spectra classifier on one host, but the classes are attack stages of one agent, not two agents."
10.3390/rs13030383,2021,Detection of Forest Windstorm Damages with Multitemporal SAR Data - A Case Study: Finland,Remote Sensing,RQ3,"three candidate methods for localising damage, assessing severity and estimating damaged area from multitemporal SAR",spaceborne C-band SAR,windstorm,Finnish forest,not stated,not stated in abstract,no,not stated in abstract,not stated in abstract,"States the core confusion problem for radar: severe windthrow can affect backscatter similarly to clear cutting, while small damage can raise neighbouring backscatter. That is a direct warning about radar-based agent attribution."
10.3390/rs13142773,2021,Measuring the Contribution of Leaves to the Structural Complexity of Urban Tree Crowns with Terrestrial Laser Scanning,Remote Sensing,RQ3,"box-dimension from TLS point clouds in leaf-on and leaf-off conditions, plus algorithmic defoliation of leaf-on clouds",terrestrial laser scanning,"defoliation, imposed algorithmically","Gleditsia triacanthos, Quercus macrocarpa, Metasequoia glyptostroboides, 45 trees on a university campus",individual tree,paired leaf-on and leaf-off scans of the same trees,"yes, 45 trees across three species",box-dimension difference,leaf-on box-dimension significantly greater than leaf-off across all species,"Mechanistic evidence that foliage loss changes a lidar structural complexity metric. Trees are urban campus specimens, not stand-grown."
10.1038/s41598-021-90576-x,2021,Impact of a tropical forest blowdown on aboveground carbon balance,Scientific Reports,RQ3,ultra-high-density drone lidar quantifying aboveground carbon density and gap size-frequency change,drone lidar,blowdown,"lowland rain forest, Costa Rica","landscape, canopy-height transition matrix",not stated in abstract,no,aboveground carbon density change,blowdown decreased ACD by at least 17.6%,Structural fingerprint of a single wind event including a change in the gap size distribution.
10.3390/rs13153042,2021,Use of TanDEM-X and SRTM-C Data for Detection of Deforestation Caused by Bark Beetle in Central European Mountains,Remote Sensing,RQ3,"differencing of two global DEMs to detect canopy height loss, validated against a lidar-derived DSM","TanDEM-X and SRTM-C interferometric DEMs, lidar DSM as reference",bark beetle,"Central European mountain spruce, Bohemian Forest, Erzgebirge, Giant Mountains",30 m and 90 m pixel,lidar-derived digital surface model as reference,no,vertical bias,"not extracted, reported as vertical bias relative to canopy height","Radar interferometric canopy height, not backscatter, used to detect insect-caused deforestation. A distinct radar route to a structural signal."
10.3390/rs13030436,2021,Stand Delineation of Pinus sylvestris L. Plantations Suffering Decline Processes Based on Biophysical Tree Crown Variables: A Necessary Tool for Adaptive Silviculture,Remote Sensing,RQ3,"random forest with Gini selection over vegetation indices and ALS metrics to map crown pigment and leaf area index, then stand delineation","WorldView-2 multispectral, airborne laser scanning",pests and drought causing defoliation and mortality,"Pinus sylvestris plantation, southern Spain",tree crown and stand,not stated in abstract,no,not stated in abstract,chlorophyll a and b significantly higher in non-defoliated and moderately defoliated trees,Structure and spectra combined for a defoliation gradient. Agents are named jointly and not separated.
10.3390/f12091188,2021,Analysis of Forest Stand Resistance to Insect Attack According to Remote Sensing Data,Forests,RQ2,spectral transfer function of NDVI response to land surface temperature as a resistance indicator,TERRA and AQUA MODIS NDVI and land surface temperature,Siberian silk moth (Dendrolimus sibiricus),"fir stands, Krasnoyarsk taiga",test site,adjacent intact fir stands as comparison,no,not stated in abstract,not stated in abstract,"Damaged and intact stands of one host compared, one insect agent."
10.1016/j.jag.2021.102624,2021,"Prediction of butt rot volume in Norway spruce forest stands using harvester, remotely sensed and environmental data",International Journal of Applied Earth Observation and Geoinformation,RQ2,"random forest models with pre-harvest and post-harvest predictor sets over 186,026 harvested stems","remote sensing derived height, environmental and climate data, harvester records","butt rot, a fungal pathogen","Picea abies, Norway",stand,"two predictor scenarios, theoretical and mapping case",no,not stated in abstract,remote sensing-based height and harvested volume among the most important predictors,"Uses an operational record as the label source at stand support, a close design analogue to using aerial overview survey polygons."
10.3390/rs13173387,2021,Elevation and Distribution of Freshwater and Sewage Canals Regulate Canopy Structure and Differentiate Hurricane Damages to a Basin Mangrove Forest,Remote Sensing,RQ3,spatial regression of hurricane-induced canopy height reduction on pre-hurricane structure and hydrological setting,airborne lidar before and after,"two consecutive hurricanes, 2017","basin mangrove forest, Puerto Rico",landscape pixel,not stated in abstract,no,not stated in abstract,not stated in abstract,Structure both predicts and records damage from one agent.
10.14214/sf.10600,2021,Contribution of woody elements to tree level reflectance in boreal forests,Silva Fennica,RQ3,"spectral mixture analysis with a physically-based forest reflectance model, using measured bark, needle and leaf spectra","airborne hyperspectral, airborne laser scanning, field spectroscopy","insect defoliation, discussed as an application","Scots pine, Norway spruce and birch plots, Finland",individual tree and plot,field and laboratory spectral measurements,no,not stated in abstract,not stated in abstract,"Quantifies how much of a crown's reflectance comes from woody rather than foliar elements, which bounds how far a spectral defoliation signal can be pushed."
10.1109/tgrs.2021.3090831,2021,Guided Nonlocal Means Estimation of Polarimetric Covariance for Canopy State Classification,IEEE Transactions on Geoscience and Remote Sensing,RQ3,guided nonlocal means estimation of polarimetric covariance matrices at single-look complex resolution,polarimetric SAR with a coregistered optical image as guide,"defoliation and tree death, agent not named","forest, not stated",single-look complex pixel,not stated in abstract,no,"class separation, described qualitatively",improved separation of live from defoliated and dead forest,"Radar canopy state classification into live, defoliated and dead. Three condition classes, no agent labels."
10.1080/22797254.2021.1982407,2021,Application of Sentinel-1 radar data for mapping ice disturbance in a forested area,European Journal of Remote Sensing,RQ3,"eXtreme Gradient Boosting on four combinations of backscatter, polarimetric descriptors, interferometric coherence and optical variables","Sentinel-1 SAR, optical imagery, orthophoto reference","ice storm, 2014","Borzsony Mountains forest, Hungary",damaged patch,three types of field-based reference data plus manual delineation from pre and post-event orthophotos,no,under and over-estimation of damage class area,uprooted trees identified with 1 to 11% underestimation; crown loss with 55 to 58% overestimation,"Sharpest available result on what radar can and cannot resolve within one agent: uprooting yes, crown loss no. Directly bears on whether a radar predictor could separate defoliation-type from mortality-type damage."
10.1109/ingarss51564.2021.9792116,2021,Identification of Bark Beetle Infestation in Part of Bohemian Forest using Sentinel-1 Time Series Insar,2021 IEEE International India Geoscience and Remote Sensing Symposium (InGARSS),RQ3,time series SAR interferometric coherence compared between infested and non-infested forest,Sentinel-1 InSAR coherence,bark beetle,Bohemian Forest spruce,not stated,not stated,no,none reported,"lower coherence in infested regions, no accuracy figure",Two-page conference paper. Directional result only.
10.5194/egusphere-egu21-11046,2021,Mind the gap: New insights on large-scale forest dynamics over Amazonian forests from airborne lidar and canopy gap data,not stated,RQ2;RQ3,multi-temporal airborne lidar with a link between canopy gaps and canopy mortality,airborne lidar,"tree mortality, agent not identified",Amazonian tropical forest,gap object,not stated,no,not stated,not stated,Conference abstract. States that detection and attribution of tree mortality by remote sensing has developed in temperate forests but not tropical ones.
10.5194/egusphere-egu21-4365,2021,Tracking tree mortality across sites with repeat LiDAR data,not stated,RQ3,canopy height maps from repeat lidar to detect structural change and large-tree mortality,repeat airborne lidar,"tree mortality, agent not identified",multiple countries and forest types,landscape,"explicitly identified as a challenge, standing dead trees may be missed",no,not stated,not stated,Conference abstract. Names validation of repeat-lidar mortality as an unsolved problem.
10.3390/rs12213634,2020,Monitoring Bark Beetle Forest Damage in Central Europe. A Remote Sensing Approach Validated with Field Data,Remote Sensing,RQ1;RQ3,"two change-detection models for damage and severity, requiring a prior forest mask and dominant species map",Sentinel-2,spruce bark beetle (Ips typographus),"Norway spruce, Czech Republic",pixel,validated with field data,no,not stated in abstract,not stated in abstract,"Requires a species mask before damage mapping, the same sequencing this project needs to hold host constant."
10.3390/rs12213570,2020,Earth Observation Based Monitoring of Forests in Germany: A Review,Remote Sensing,RQ2,review of Earth observation based forest monitoring in Germany,multiple (review),"storm, drought, heat, bark beetle mass reproduction",German forest,not applicable,"not applicable, review",no,not applicable,not applicable,Frames drought and bark beetle as a cascade rather than as competing agents.
10.1088/1748-9326/aba136,2020,Aboveground carbon loss associated with the spread of ghost forests as sea levels rise,Environmental Research Letters,RQ3,repeat lidar with multi-temporal satellite imagery and field biomass to map ghost forest spread and carbon change,"repeat airborne lidar, satellite imagery, field biomass",saltwater intrusion from sea level rise,"coastal forest, North Carolina",landscape,field measurements of aboveground biomass,no,area converted,15% (167 km2) of unmanaged public land changed from coastal forest to transition ghost forest between 2001 and 2014,"Repeat lidar tracks a slow, non-stand-replacing mortality process, the regime an adelgid signal sits in."
10.1002/ecs2.3156,2020,Application of multidimensional structural characterization to detect and describe moderate forest disturbance,not stated,RQ1;RQ3,lidar-derived canopy structural traits within a machine learning framework to detect and describe structural change by agent,terrestrial lidar,"moderate severity fire, ice storm damage, age-related senescence, hemlock woolly adelgid, beech bark disease, chronic acidification","multiple, one host per agent",plot and canopy,"no replication among disturbances, stated by the authors as a limitation",no,"none reported, described structurally",no classification accuracy reported; two of six agents significantly reduced leaf area,"CENTRAL RECORD FOR RQ3. Six named disturbance agents, including two biotic pests, characterised structurally from lidar. Abstract states verbatim that fire and ice storms primarily affected the amount and position of vegetation within canopies, while acidification, senescence, pathogen, and insect infestation altered canopy arrangement and complexity, and that findings are limited in their generalizability due to lack of replication among disturbances. Each agent sits on a different host, and no classifier accuracy is reported, so it is a descriptive multi-agent structural comparison rather than an attribution model. The 2019 preprint of the same study, doi 10.20944/preprints201911.0082.v1, is titled 'Multidimensional Structural Characterization is Required to Detect and Differentiate Among Moderate Disturbance Agents' and its abstract states verbatim that the authors used lidar-derived canopy structural measured within a machine learning framework to detect and differentiate among various disturbance agents, and that standard disturbance detection methods, such as optical based remote sensing platforms, may currently be limited in their ability to detect, differentiate, and characterize disturbance."
10.1016/j.rse.2020.111853,2020,"A multi-sensor, multi-scale approach to mapping tree mortality in woodland ecosystems",not stated,RQ1;RQ3,"multi-scale fusion, UAV imagery for tree-level mortality, airborne lidar for crown mapping and percent canopy mortality, Landsat for regional upscaling","UAV centimetre imagery, airborne lidar, Landsat","drought, invasive insect outbreaks, pathogens, not separated","pinon-juniper woodland, southeastern Utah","individual tree, crown, Landsat pixel",not stated in abstract,no,mortality extent,"39% of pinon-juniper in the region showed some level of mortality, patches exceeding 50%",Same region and label environment as Campbell et al. 2023. States that the explanatory power of the mortality driver model was low.
10.5194/isprs-annals-v-2-2020-203-2020,2020,CLASSIFICATION OF TREE SPECIES AND STANDING DEAD TREES BY FUSING UAV-BASED LIDAR DATA AND MULTISPECTRAL IMAGERY IN THE 3D DEEP NEURAL NETWORK POINTNET++,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",RQ3,"PointNet++ 3D deep neural network on fused lidar geometry, echo pulse width and multispectral features","UAV lidar, multispectral imagery",pest infestation causing standing dead trees,"pine, birch, alder",individual tree,not stated in abstract,no,not stated in abstract,not stated in abstract,Standing dead trees classified alongside species from fused structure and spectra.
10.1016/j.foreco.2019.117826,2020,Influence of selected habitat and stand factors on bark beetle Ips typographus (L.) outbreak in the Białowieża Forest,not stated,RQ2;RQ3,"individual dead tree detection from ALS and multispectral imagery, then analysis of habitat and stand factors on infestation","airborne laser scanning, multispectral imagery, digital forest maps",Ips typographus,"Picea abies, Bialowieza Forest, 62,000 ha",individual tree,not stated in abstract,no,not stated in abstract,not stated in abstract,"Large-area individual-tree detection using lidar plus spectra, then stand-factor modelling of which trees were attacked."
10.1016/j.jag.2020.102206,2020,Mapping forest windthrows using high spatial resolution multispectral satellite images,International Journal of Applied Earth Observation and Geoinformation,RQ3,comparison of two multispectral constellations for windthrow mapping across acquisition timings,"Sentinel-2, PlanetScope",windthrow,European forest,not stated,not stated in abstract,no,not stated in abstract,not stated in abstract,"Notes that wind damage acts indirectly through secondary insect outbreaks and fires, a compound-agent problem."
10.1093/forestry/cpaa043,2020,Satellite open data to monitor forest damage caused by extreme climate-induced events: a case study of the Vaia storm in Northern Italy,Forestry: An International Journal of Forest Research,RQ3,classification of storm damage from optical and radar open data,"Sentinel-1 SAR, Sentinel-2",Vaia storm 2018,Northern Italian forest,not stated,not stated in abstract,no,overall accuracy,up to 86 percent with Sentinel-2; optical use hampered by persistent cloud,"Optical wins on accuracy but loses on availability, the standard trade-off that motivates radar."
10.3390/rs12183061,2020,Continuous Forest Monitoring Using Cumulative Sums of Sentinel-1 Timeseries,Remote Sensing,RQ3,cumulative sums applied to Sentinel-1 time series for continuous change detection,Sentinel-1 SAR,"forest degradation and destruction, agent not identified",not stated,pixel,not stated in abstract,no,not stated in abstract,not stated in abstract,Radar analogue of the optical continuous change detection family.
10.3390/rs12081304,2020,Detecting Change in Forest Structure with Simulated GEDI Lidar Waveforms: A Case Study of the Hemlock Woolly Adelgid (HWA; Adelges tsugae) Infestation,Remote Sensing,RQ1;RQ3,"GEDI waveforms simulated from two airborne lidar acquisitions, waveform metric change regressed on field hemlock mortality","airborne lidar (NASA G-LiHT and NEON AOP), simulated GEDI spaceborne lidar",hemlock woolly adelgid (Adelges tsugae),"eastern hemlock (Tsuga canadensis), Harvard Forest ForestGEO","plot, GEDI footprint",field-derived hemlock mortality as reference; robustness tested with added noise and sparse coverage,no,variance explained in a logistic regression,changes in midstory plant area (PAI 11 to 12 m) and canopy permeability (RH10) accounted for 60% of the variation in hemlock mortality,"CENTRAL RECORD FOR RQ1 AND RQ3. The abstract states verbatim that the insect often causes its host species to defoliate in the midstory and understory before showing impacts in the overstory, and that active sensing can address this by penetrating canopy gaps and recording lower canopy structural changes. This is the published rationale for a structural adelgid signal, on the eastern adelgid, and it is not in references.bib."
10.3390/rs12152435,2020,Urban Tree Health Classification Across Tree Species by Combining Airborne Laser Scanning and Imaging Spectroscopy,Remote Sensing,RQ3,"random forest classification of field-assessed defoliation and discoloration classes from fused structure and spectra, several scenarios compared","airborne laser scanning, hyperspectral imagery","declining tree health, agent not identified",multiple urban tree species,individual tree,"field-assessed health indicators, scenario comparison",no,not stated in abstract,not stated in abstract,"Tests whether structure adds to spectra for health classification across heterogeneous species, the same ablation this project plans."
10.1016/j.rse.2019.111482,2020,eDaRT: The Ecosystem Disturbance and Recovery Tracker system for monitoring landscape disturbances and their cumulative effects,not stated,RQ2,"automated Landsat-based disturbance and recovery tracking system, operational since 2012",Landsat,"landscape disturbances, cumulative effects",USDA Forest Service Pacific Southwest Region,Landsat pixel,not stated in abstract,no,not stated in abstract,not stated in abstract,"An operational agency system, the class of prior art a management-facing claim has to sit against."
10.1002/jbio.202000420,2020,Bark beetles as lidar targets and prospects of photonic surveillance,Journal of Biophotonics,RQ3,"laboratory characterisation of beetle light scattering, wing thickness and wingbeat frequency, then field entomological lidar with a controlled release",entomological lidar,Ips typographus,"spruce forest, Sweden",individual insect in flight,controlled bark beetle release event,no,not stated in abstract,not stated in abstract,"Lidar detects the insect itself rather than the damage, and the abstract states that the measured parameters can infer target identity in lidar data. A different route to agent identity from canopy structure."
10.3390/rs12213554,2020,Postfire Tree Structure from High-Resolution LiDAR and RBR Sentinel 2A Fire Severity Metrics in a Pinus halepensis-Dominated Burned Stand,Remote Sensing,RQ3,"UAV lidar tree structure measured six months post-fire, compared against a Sentinel-2 relativized burn ratio severity metric","UAV lidar, Sentinel-2",wildfire,"Pinus halepensis, southeast Spain",individual tree and stand,not stated in abstract,no,not stated in abstract,not stated in abstract,"States the core structural argument, that optical sensors have limited ability to penetrate the canopy down to the ground and lidar can overcome this."
10.1038/s41467-020-17214-4,2020,Reply to “Height-related changes in forest composition explain increasing tree mortality with height during an extreme drought”,Nature Communications,RQ3,"re-analysis of tree-level mortality for about 1.8 million trees, controlling for forest type and topographic position",airborne remote sensing derived tree heights and mortality,extreme drought,"Sierra Nevada, ten forest types","individual tree over 40,000 ha",stratified re-analysis across ten topographic positions and ten forest types,no,height-mortality trend,consistent upward trend in mortality rate with increasing tree height in all strata,"Structure predicts which trees die under one agent, at very large sample size. Also warns that plot-based sampling undersamples tall trees."
10.1016/j.rse.2020.111729,2020,Allometry and structural volume change of standing dead southern pine trees using non-destructive terrestrial LiDAR,not stated,RQ3,non-destructive terrestrial lidar quantification of standing dead tree structural volume by decay class,terrestrial laser scanning,"disturbance-caused mortality, agent not identified",southern pine,individual standing dead tree,not stated in abstract,no,not stated in abstract,not stated in abstract,"Structural decay trajectory of dead trees, which determines how long a mortality signal persists in a structural predictor."
10.3390/rs12121906,2020,Stress Detection in New Zealand Kauri Canopies with WorldView-2 Satellite and LiDAR Data,Remote Sensing,RQ3,crown-level stress grading from pan-sharpened satellite multispectral with lidar crown height model for crown delineation,"WorldView-2, airborne lidar",kauri dieback (Phytophthora agathidicida),New Zealand kauri (Agathis australis),"individual crown, 1089 reference crowns",fieldwork and aerial image interpretation of 1089 crowns,no,effect of crown size on classification,excluding crowns under 4 m diameter increased performance; crowns under 4 m caused most outliers at 1.8 m pixel size,"Quantifies how crown size relative to pixel size limits stress detection, directly relevant to small adelgid polygons."
10.3390/f11121239,2020,A Deep Learning Approach for Calamity Assessment Using Sentinel-2 Data,not stated,RQ3,convolutional neural networks with GIS for calamity assessment against forest department storm damage labels,"Sentinel-2, twelve scenes","storm (Friedericke, January 2018), with subsequent bark beetle degradation noted","Hessen forest, Germany",pixel,labels provided by the state forest service,no,not stated in abstract,not stated in abstract,"Uses an agency damage layer as ground truth, the same label-provenance issue this project carries."
10.3390/rs12081341,2020,"Ash Presence and Abundance Derived from Composite Landsat and Sentinel-2 Time Series and Lidar Surface Models in Minnesota, USA",Remote Sensing,RQ3,Landsat and Sentinel-2 phenological time series with lidar-derived topographic position to classify host species presence and abundance,"Landsat, Sentinel-2, lidar surface models","emerald ash borer (Agrilus planipennis), as the threat motivating host mapping","Fraxinus spp., Minnesota",pixel,not stated in abstract,no,not stated in abstract,not stated in abstract,Lidar topographic position improves host mapping rather than damage mapping.
10.5194/isprs-annals-v-3-2020-525-2020,2020,SPATIAL PROCESSING OF SENTINEL IMAGERY FOR MONITORING OF ACACIA FOREST DEGRADATION IN LAKE NAKURU RIPARIAN RESERVE,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",RQ3,correlation of optical vegetation indices with radar backscatter indices for degradation classification,"Sentinel-1 GRD dual polarised, Sentinel-2 MSI","tree degradation, agent not identified","acacia, Lake Nakuru riparian reserve",not stated,not stated in abstract,no,not stated in abstract,not stated in abstract,Optical and radar treated as correlated rather than complementary.
10.1109/igarss39084.2020.9323599,2020,Polarimetric Guided Nonlocal Means Covariance Matrix Estimation for Defoliation Mapping,IEEE International Geoscience and Remote Sensing Symposium,RQ3,"guided nonlocal means polarimetric covariance estimation preserving single-look complex resolution, then random forest classification","RADARSAT-2 quad-polarimetric SAR, aerial photographs for reference",defoliation and tree death in the tundra-forest ecotone,"tundra-forest ecotone trees, species not stated",single-look complex pixel,four live-forest and four dead-tree areas identified from aerial photographs,"yes, four areas per class",classification accuracy,over 99.7%,"Highest reported radar accuracy in the set for a live versus dead canopy state, on sparse trees with strong ground contrast. Not an agent classification and the class geometry is extreme."
10.5194/egusphere-egu2020-19901,2020,Mapping forest natural disturbances dynamics in the Aosta Valley (Italy) through long-term trends derived from Landsat time series and innovative statistical approaches,not stated,RQ2;RQ3,"long-term Landsat time series trends with geometric median annual composites and spectral index trajectories, agents assigned","Landsat TM, ETM+ and OLI, 1985 to 2019","wildfires, windthrows, snow avalanches, landslides and insect outbreaks","Aosta Valley forest, Italy",pixel,not stated,no,not stated,not stated,"Conference abstract. Five-agent optical attribution, but the agents differ in season, spatial pattern and terrain position."
10.3390/rs11192326,2019,A Convolutional Neural Network Classifier Identifies Tree Species in Mixed-Conifer Forest from Hyperspectral Imagery,Remote Sensing,RQ3,pixel-based convolutional neural network on hyperspectral imagery with three-dimensional structural information from lidar,"airborne hyperspectral, airborne lidar","mortality, agent not identified","seven conifer species plus dead standing trees, Sierra Nevada",pixel,"spatially explicit transects and plots split into training, validation and testing",no,not stated in abstract,not stated in abstract,"Includes a spatially explicit train, validate and test split, an unusually careful design in this set."
10.1016/j.scitotenv.2018.12.208,2019,Massive tree mortality from flood pulse disturbances in Amazonian floodplain forests: The collateral effects of hydropower production.,Science of the Total Environment,RQ3,object-based image analysis with random forest supervised classification of 56 SAR scenes at different flood levels,ALOS PALSAR L-band SAR,flood pulse alteration from hydropower damming,"igapo black-water floodplain forest, Central Amazon","object, 9800 km2 mapped",not stated in abstract,no,overall accuracy,87.2%,"One of the few radar mortality mapping studies with a stated overall accuracy. L-band, not C-band."
10.3390/rs11020115,2019,Rapid Detection of Windthrows Using Sentinel-1 C-Band SAR Data,Remote Sensing,RQ3,composite of pre and post-storm terrain-corrected SAR acquisitions then windthrow detection,Sentinel-1 C-band VV and VH,storm windthrow,"mixed temperate forest, Switzerland and northern Germany",not stated,two independent study areas,no,not stated in abstract,not stated in abstract,"Rapid-response radar windthrow detection, the standard C-band use case."
10.3390/rs11161899,2019,Detecting Forest Changes Using Dense Landsat 8 and Sentinel-1 Time Series Data in Tropical Seasonal Forests,Remote Sensing,RQ3,random forest predicting per-observation disturbance probability from harmonic regression residuals of optical and radar time series,"Landsat 8, Sentinel-1","forest disturbance, various",tropical seasonal forest,observation and pixel,not stated in abstract,no,not stated in abstract,not stated in abstract,"Hybrid optical and radar time series with a machine learning fusion, the design family this project would sit in."
10.1016/j.rse.2019.111233,2019,Remote sensing of forest die-off in the Anthropocene: From plant ecophysiology to canopy structure,Remote Sensing of Environment,RQ2;RQ3,"review linking drought-induced changes in plant physiology, chemistry and structure to remote sensing observables","multiple, including structural sensors (review)","drought, insect and pathogen outbreaks",multiple,not applicable,"not applicable, review",no,not applicable,not applicable,"The most relevant review for the mechanism this project proposes, spanning ecophysiology through to canopy structure."
10.1016/j.rse.2019.01.029,2019,Comparison and integration of lidar and photogrammetric point clouds for mapping pre-fire forest structure,Remote Sensing of Environment,RQ3,"photogrammetric point cloud from pre-fire imagery combined with a post-fire lidar terrain model, correlation structure between the two sources examined","aerial photogrammetry, airborne lidar",wildfire (2012 High Park fire),Colorado forest,pixel and stand,cross-source comparison,no,not stated in abstract,not stated in abstract,"Practical route to pre-event structure where lidar predates or postdates the disturbance, the exact timing problem a lidar-based attribution design faces."
10.1016/j.rse.2019.111264,2019,The potential of dual-wavelength terrestrial lidar in early detection of Ips typographus (L.) infestation – Leaf water content as a proxy,Remote Sensing of Environment,RQ3,dual-wavelength terrestrial lidar with leaf water content as a proxy for infestation status,dual-wavelength terrestrial lidar,Ips typographus,Norway spruce,individual tree,not stated in abstract,no,not stated in abstract,not stated in abstract,"Already cited in the survey as Junttila 2019. Lidar detects a physiological rather than a geometric change, using two wavelengths."
10.3390/rs11060709,2019,Long-Term Impacts of Selective Logging on Amazon Forest Dynamics from Multi-Temporal Airborne LiDAR,Remote Sensing,RQ3,"multi-temporal ALS estimating canopy and understory structural change, plus a binary classifier for intact versus logged",airborne laser scanning 2012 and 2014,reduced-impact selective logging,Eastern Amazon forest,"canopy and understory, plot",not stated in abstract,no,classification of intact versus logged,canopy gap frequency significantly higher in logged forests after 8 years; understory of logged areas could not be distinguished from intact,Explicit finding on which structural strata retain a disturbance signature and which do not.
10.1016/j.scitotenv.2019.06.494,2019,Synthetic aperture radar sensitivity to forest changes: A simulations-based study for the Romanian forests.,Science of the Total Environment,RQ3,"electromagnetic simulation of C-, L- and P-band SAR response to vegetation water content, leaf area index and disturbance","simulated C-, L- and P-band SAR",natural and anthropogenic disturbance including defoliation and drought,"beech, oak and coniferous forest, Romania",simulated stand,simulation study,no,modulation of the SAR signal in dB,"C-band largely influenced by foliage volume and therefore possibly useful for monitoring defoliation; water content changes modulated the C-band signal by less than 1 dB, which may be insufficient for meaningful retrieval","The strongest physical bound in the set on what a C-band predictor can carry. Says defoliation yes, water content no, and separates behaviour by wavelength."
10.1016/j.foreco.2019.03.064,2019,Intra-annual Ips typographus outbreak monitoring using a multi-temporal GIS analysis based on hyperspectral and ALS data in the Białowieża Forests,Forest Ecology and Management,RQ3,"multi-temporal GIS workflow mapping dead trees at single-tree level from hyperspectral and ALS, with timber loss estimation","airborne hyperspectral, airborne laser scanning, field inventory",Ips typographus,"Picea abies, Bialowieza Forest",individual tree,field inventories,no,not stated in abstract,not stated in abstract,Intra-annual outbreak tracking at tree level from fused structure and spectra.
10.1016/j.rse.2019.05.013,2019,Mapping forest successional stages in the Brazilian Amazon using forest heights derived from TanDEM-X SAR interferometry,Remote Sensing of Environment,RQ3,forest top height from interferometric SAR used to discriminate successional stages,TanDEM-X InSAR,natural and anthropogenic disturbance history,Brazilian Amazon forest,pixel,not stated in abstract,no,not stated in abstract,not stated in abstract,"Radar-derived height, not backscatter, discriminates disturbance-history classes. The nearest radar analogue to a structural attribution predictor."
10.1016/j.foreco.2018.12.005,2019,Combined use of spectral and structural characteristics for improved red band needle blight detection in pine plantation stands,Forest Ecology and Management,RQ2;RQ3,"comparison of spectral signatures and individual-tree lidar metrics, singly and combined, for infection detection","hyperspectral imagery, airborne lidar, leaf spectroscopy",red band needle blight (Dothistroma septosporum),lodgepole pine plantation,"individual tree, two plots",comparative study across two plots,no,separability between stands,good separation between the two pine stands using several spectral indices; combined result not extracted from abstract,"Explicitly tests whether adding structural metrics to spectra improves detection of a single pathogen on one host. The design is the ablation this project plans, with one agent instead of two."
10.1007/s40725-019-00098-z,2019,Radar Satellite Imagery for Detecting Bark Beetle Outbreaks in Forests,Current Forestry Reports,RQ3,structured review of radar for bark beetle detection with a theoretical account of radar-canopy interaction,Sentinel-1 and other radar systems (review),bark beetle,"forest, species not stated",not applicable,"not applicable, review",no,not applicable,not applicable,Already cited as Hollaus 2019. Verbatim conclusions worth quoting: mono-temporal radar data are of limited use; shorter wavelength (e.g. C-band; X-band) have a higher potential than longer wavelength such as L-band; optimal acquisition is April to June pre-event and August to October post-event.
